individual,day,dive_no,total_N,total_rms,max_depth,dive_dur,Vair,BD,initial_depth,avg_pitch,avg_speed,glide_duration,cvar_pitch,cvar_roll
ml17_301a,2,32,72,0.990396693,275.8,781,0,1041.22,16.658628,-62.43569712,2.328864382,17,0.007677403,0.785605541
ml17_301a,2,35,66,1.314177429,255.8,778,0,1041.22,26.421221,-57.03041717,2.537561983,12,0.000587303,0.161524793
ml17_301a,2,36,99,1.177117993,260.6,794,0,1041.22,16.836349,-57.799097,2.551791863,16,0.00489736,0.254807606
ml17_301a,2,37,117,1.083546105,269,804,0,1041.22,16.243631,-58.45752863,2.571305131,16,0.00847485,0.308271323
ml17_301a,2,39,64,1.190216383,260.8,788,0,1041.22,21.841515,-49.05237071,2.709686264,14,0.002397626,0.004088129
ml17_301a,2,4,152,0.981890885,520.8,1202,19.18465228,1041.22,22.017097,-59.67547572,1.8616407,18,0.008259891,0.543135636
ml17_301a,2,40,101,1.073862775,276.1,781,0,1041.22,14.465902,-62.35155881,2.542416688,16,0.001491702,0.429913068
ml17_301a,2,41,116,1.222865712,300.7,789,0,1041.22,16.370316,-56.91384931,2.5566508,16,0.0027978,0.159302987
ml17_301a,2,44,142,1.141275191,295,909,17.26618705,1041.22,19.361797,-60.57384629,2.130883218,17,0.005450471,0.475885272
ml17_301a,2,47,65,1.31434479,298,853,0,1041.22,24.035421,-54.74845431,2.572247062,13,0.001192275,0.040044301
ml17_301a,2,49,232,1.309565092,432.7,1055,37.88968825,1041.22,27.687395,-61.36361423,2.100323554,13,0.00011369,0.033472557
ml17_301a,2,5,190,1.322907837,535.1,1162,31.41486811,1041.22,27.107943,-63.93903215,2.128976838,13,0.001786892,0.193507429
ml17_301a,2,52,202,1.322686472,818.6,1717,28.29736211,1041.22,30.502968,-65.48612982,2.134899227,11,0.001368335,0.673059658
ml17_301a,2,54,149,1.136618648,187.2,955,5.035971223,1041.22,19.896852,-54.10244073,2.521381887,15,0.001350462,0.022871212
ml17_301a,2,6,226,1.166272234,293.8,1013,15.34772182,1041.22,25.237085,-62.76892446,2.182641254,13,0.004629725,0.30011252
